RefDes,Quantity,Value,Name,Pattern
"C1, C2, C3, C5, C7, C9, C10, C12, C13, C14, C15, C16, C17",41,100n,C0603_CER,CAP_0603
"C4, C6, C8, C11, C45",5,22uF,C1206EU,CAP_1206
D1,1,,1N5819HW,SOD-123
DS1,1,,EA_DIPS082-HNLED,EADIPS082HNLED
IC1,7,,MCP4728-E,SOP50P490X110-10N
IC2,1,,TCA9548APWR,SOP65P640X120-24N
IC3,4,,PCA9685PW,SOP65P640X110-28N
IC4,1,,SN74LVC2G125,SOP50P310X90-8N
J38,1,,71308-5410,HDR-2x5S/2.54x2.54/13x6
J39,1,,68301-1009,HDR-1x3SZ/2.54/8x5
Q1,1,,MMBT3906,SOT23
Q2,9,,MMBT3904,SOT96P237X111-3N
"R1, R9, R34",11,75k .1%,R0603,R0603
R2,1,10k,R0603,R0603
"R3, R5, R7, R10",28,10K,R0603,R0603
"R4, R6, R8, R11, R12, R13, R69",39,5k1,R0603,R0603
"R14, R15, R16, R17, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68",111,1k,R0603,R0603
R18,1,15R,R0603,R0603
T2,1,5k,TC33X-2,TC33X-2
"U2, U19, U26",11,,MPR121Q,QFN-20NP/3x3x0.4
U3,7,,Quad OpAmp,TSSOP-14
U4,1,,C14N32N-A3,C14 OPTICAL ENCODER
U5,1,,ROF-78E5.0-0.5SMD-R,
U6,1,,TL7660CDR,SOIC-8/150mil
U7,1,,ROF-78E3.3-0.5SMD-R,
"U8, U9, U10, U11, U12, U13, U14, U15, U16, U21, U22, U23, U24, U25",64,,REVERSE LED,Surface Mount LED
U17,1,,MCP23018-E/SS,SSOP-28
U18,1,,TEENSY4.0,TEENSY
,408,,,
